datetime,portfolio_value,cash,positions,return
2024-01-01 00:00:00-05:00,100000.0,100000.0,[],
2024-01-02 00:00:00-05:00,100000.0,100000.0,[],0.0
2024-01-03 00:00:00-05:00,100000.0,100000.0,[],0.0
2024-01-04 00:00:00-05:00,100000.0,100000.0,[],0.0
2024-01-05 00:00:00-05:00,100298.12606473594,124829.64224872232,"[{'asset': XRP, 'quantity': -42589.43781942079}]",0.002981260647359374
2024-01-06 00:00:00-05:00,101509.48502271438,150426.55983816014,"[{'asset': XRP, 'quantity': -86121.61059057355}]",0.012077583156404836
2024-01-07 00:00:00-05:00,104090.51416576814,176161.35885800322,"[{'asset': XRP, 'quantity': -130800.08111113445}]",0.025426482485614077
2024-01-08 00:00:00-05:00,100558.91197576752,176161.35885800322,"[{'asset': XRP, 'quantity': -130800.08111113445}]",-0.03392818469871717
2024-01-09 00:00:00-05:00,101997.71286798999,176161.35885800322,"[{'asset': XRP, 'quantity': -130800.08111113445}]",0.0143080395755395
2024-01-10 00:00:00-05:00,97550.51011021141,176161.35885800322,"[{'asset': XRP, 'quantity': -130800.08111113445}]",-0.04360100469639305
2024-01-11 00:00:00-05:00,97419.71002910029,176161.35885800322,"[{'asset': XRP, 'quantity': -130800.08111113445}]",-0.001340844665633778
2024-01-12 00:00:00-05:00,101605.3126246566,176161.35885800322,"[{'asset': XRP, 'quantity': -130800.08111113445}]",0.042964638206231864
2024-01-13 00:00:00-05:00,96216.48922170304,70592.34239750236,"[{'asset': XRP, 'quantity': 44563.73360730553}]",-0.05303682714761748
2024-01-14 00:00:00-05:00,96261.05295531034,70592.34239750236,"[{'asset': XRP, 'quantity': 44563.73360730553}]",0.0004631610856702384
2024-01-15 00:00:00-05:00,96261.05295531034,70592.34239750236,"[{'asset': XRP, 'quantity': 44563.73360730553}]",0.0
2024-01-16 00:00:00-05:00,96261.05295531034,120326.31619413792,"[{'asset': XRP, 'quantity': -41779.97090074234}]",0.0
2024-01-17 00:00:00-05:00,96595.29272251629,120326.31619413792,"[{'asset': XRP, 'quantity': -41779.97090074234}]",0.003472222222222321
2024-01-18 00:00:00-05:00,97305.55222782888,120326.31619413792,"[{'asset': XRP, 'quantity': -41779.97090074234}]",0.00735294117647034
